date,game_pk,game_time_utc,team,opponent,home_away,slot,batter_id,batter_name,opp_starter_id,opp_starter_name,bats,opp_throws,stand
2026-08-23,824799,2026-08-23T17:35:00Z,Baltimore Orioles,Tampa Bay Rays,home,1,702616,Jackson Holliday,607259,Nick Martinez,L,R,L
2026-08-23,824799,2026-08-23T17:35:00Z,Baltimore Orioles,Tampa Bay Rays,home,2,624413,Pete Alonso,607259,Nick Martinez,R,R,R
2026-08-23,824799,2026-08-23T17:35:00Z,Baltimore Orioles,Tampa Bay Rays,home,3,683002,Gunnar Henderson,607259,Nick Martinez,L,R,L
2026-08-23,824799,2026-08-23T17:35:00Z,Baltimore Orioles,Tampa Bay Rays,home,4,694212,Samuel Basallo,607259,Nick Martinez,L,R,L
2026-08-23,824799,2026-08-23T17:35:00Z,Baltimore Orioles,Tampa Bay Rays,home,5,691723,Coby Mayo,607259,Nick Martinez,R,R,R
2026-08-23,824799,2026-08-23T17:35:00Z,Baltimore Orioles,Tampa Bay Rays,home,6,687637,Dylan Beavers,607259,Nick Martinez,L,R,L
2026-08-23,824799,2026-08-23T17:35:00Z,Baltimore Orioles,Tampa Bay Rays,home,7,687952,Christian Encarnacion-Strand,607259,Nick Martinez,R,R,R
2026-08-23,824799,2026-08-23T17:35:00Z,Baltimore Orioles,Tampa Bay Rays,home,8,681297,Colton Cowser,607259,Nick Martinez,L,R,L
2026-08-23,824799,2026-08-23T17:35:00Z,Baltimore Orioles,Tampa Bay Rays,home,9,665750,Leody Taveras,607259,Nick Martinez,S,R,L
2026-08-23,824799,2026-08-23T17:35:00Z,Tampa Bay Rays,Baltimore Orioles,away,1,650490,Yandy Díaz,669358,Shane Baz,R,R,R
2026-08-23,824799,2026-08-23T17:35:00Z,Tampa Bay Rays,Baltimore Orioles,away,2,666018,Jonathan Aranda,669358,Shane Baz,L,R,L
2026-08-23,824799,2026-08-23T17:35:00Z,Tampa Bay Rays,Baltimore Orioles,away,3,691406,Junior Caminero,669358,Shane Baz,R,R,R
2026-08-23,824799,2026-08-23T17:35:00Z,Tampa Bay Rays,Baltimore Orioles,away,4,689414,Liam Hicks,669358,Shane Baz,L,R,L
2026-08-23,824799,2026-08-23T17:35:00Z,Tampa Bay Rays,Baltimore Orioles,away,5,802415,Chandler Simpson,669358,Shane Baz,L,R,L
2026-08-23,824799,2026-08-23T17:35:00Z,Tampa Bay Rays,Baltimore Orioles,away,6,676356,Jonny DeLuca,669358,Shane Baz,R,R,R
2026-08-23,824799,2026-08-23T17:35:00Z,Tampa Bay Rays,Baltimore Orioles,away,7,656775,Cedric Mullins,669358,Shane Baz,L,R,L
2026-08-23,824799,2026-08-23T17:35:00Z,Tampa Bay Rays,Baltimore Orioles,away,8,680700,Richie Palacios,669358,Shane Baz,L,R,L
2026-08-23,824799,2026-08-23T17:35:00Z,Tampa Bay Rays,Baltimore Orioles,away,9,670764,Taylor Walls,669358,Shane Baz,S,R,L
